# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "8" "-p" "-t" "gene" "-g" "ID" "-a" "reference/GWH_reference/annotation.gff" "-o" "counts/C0H_R1_counts.txt" "alignments/C0H_R1.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	alignments/C0H_R1.sorted.bam
GUL01G004959	GWHHCNU00000001.1	49199092	49200034	+	943	6
GUL01G004960	GWHHCNU00000001.1	49200092	49200784	+	693	0
GUL01G004961	GWHHCNU00000001.1	49203004	49206156	-	3153	290
GUL01G004962	GWHHCNU00000001.1	49219673	49224104	+	4432	1034
GUL01G004963	GWHHCNU00000001.1	49225517	49229055	-	3539	588
GUL01G004964	GWHHCNU00000001.1	49229191	49229642	+	452	14
GUL01G004965	GWHHCNU00000001.1	49236038	49236925	-	888	0
GUL01G004966	GWHHCNU00000001.1	49242271	49245185	+	2915	859
GUL01G004967	GWHHCNU00000001.1	49247985	49250433	-	2449	6360
GUL01G004968	GWHHCNU00000001.1	49265095	49271179	+	6085	1549
GUL01G004969	GWHHCNU00000001.1	49273139	49275204	+	2066	234
GUL01G004970	GWHHCNU00000001.1	49276579	49281307	-	4729	1762
GUL01G004971	GWHHCNU00000001.1	49281544	49284604	-	3061	60
GUL01G004972	GWHHCNU00000001.1	49296688	49297866	-	1179	9940
GUL01G004973	GWHHCNU00000001.1	49304184	49306756	+	2573	0
GUL01G004974	GWHHCNU00000001.1	49307643	49307882	-	240	0
GUL01G004975	GWHHCNU00000001.1	49308106	49308414	+	309	0
GUL01G004976	GWHHCNU00000001.1	49309688	49311043	+	1356	568
GUL01G004977	GWHHCNU00000001.1	49311386	49314191	-	2806	18
GUL01G004978	GWHHCNU00000001.1	49316768	49319009	+	2242	850
GUL01G004979	GWHHCNU00000001.1	49320610	49328620	+	8011	3299
GUL01G004980	GWHHCNU00000001.1	49329154	49330565	-	1412	945
GUL01G004981	GWHHCNU00000001.1	49330698	49342722	-	12025	78
GUL01G004982	GWHHCNU00000001.1	49350761	49351976	-	1216	0
GUL01G004983	GWHHCNU00000001.1	49352725	49360353	+	7629	1055
GUL01G004984	GWHHCNU00000001.1	49362226	49363325	-	1100	68
GUL01G004985	GWHHCNU00000001.1	49367284	49370443	+	3160	3352
GUL01G004986	GWHHCNU00000001.1	49371404	49382107	+	10704	332
GUL01G004987	GWHHCNU00000001.1	49385399	49438576	+	53178	3477
GUL01G004988	GWHHCNU00000001.1	49440899	49446085	+	5187	10
GUL01G004989	GWHHCNU00000001.1	49447169	49448380	+	1212	0
GUL01G004990	GWHHCNU00000001.1	49450990	49452709	+	1720	889
GUL01G004991	GWHHCNU00000001.1	49455217	49457625	+	2409	2546
GUL01G004992	GWHHCNU00000001.1	49458912	49461134	-	2223	1092
GUL01G004993	GWHHCNU00000001.1	49463204	49466328	+	3125	198
GUL01G004994	GWHHCNU00000001.1	49477140	49477448	-	309	0
GUL01G004995	GWHHCNU00000001.1	49483967	49485508	+	1542	635
GUL01G004996	GWHHCNU00000001.1	49495847	49499477	+	3631	4957
GUL01G004997	GWHHCNU00000001.1	49500893	49505283	-	4391	69
GUL01G004998	GWHHCNU00000001.1	49511211	49512231	-	1021	1420
GUL01G004999	GWHHCNU00000001.1	49515465	49515895	+	431	6
GUL01G005000	GWHHCNU00000001.1	49516416	49518200	-	1785	0
GUL01G005001	GWHHCNU00000001.1	49518273	49519148	-	876	0
GUL01G005002	GWHHCNU00000001.1	49519203	49520345	-	1143	0
GUL01G005003	GWHHCNU00000001.1	49521739	49526434	+	4696	3082
GUL01G005004	GWHHCNU00000001.1	49526711	49531430	+	4720	553
GUL01G005005	GWHHCNU00000001.1	49534001	49534417	-	417	201
GUL01G005006	GWHHCNU00000001.1	49535700	49537493	-	1794	0
GUL01G005007	GWHHCNU00000001.1	49541554	49547102	-	5549	508
GUL01G005008	GWHHCNU00000001.1	49550363	49551936	-	1574	954
GUL01G005009	GWHHCNU00000001.1	49554438	49554695	+	258	263
GUL01G005010	GWHHCNU00000001.1	49558410	49559904	-	1495	630
GUL01G005011	GWHHCNU00000001.1	49566552	49567088	+	537	3785
GUL01G005012	GWHHCNU00000001.1	49569986	49570339	+	354	0
GUL01G005013	GWHHCNU00000001.1	49572952	49573518	+	567	37
GUL01G005014	GWHHCNU00000001.1	49576632	49578255	-	1624	163
GUL01G005015	GWHHCNU00000001.1	49583837	49588983	-	5147	1795
GUL01G005016	GWHHCNU00000001.1	49590288	49590686	-	399	0
GUL01G005017	GWHHCNU00000001.1	49591534	49591821	-	288	0
GUL01G005018	GWHHCNU00000001.1	49597223	49607587	+	10365	866
GUL01G005019	GWHHCNU00000001.1	49609093	49610529	-	1437	22
GUL01G005020	GWHHCNU00000001.1	49617052	49618777	-	1726	1762
GUL01G005021	GWHHCNU00000001.1	49637701	49642703	-	5003	548
GUL01G005022	GWHHCNU00000001.1	49652569	49653168	-	600	404
GUL01G005023	GWHHCNU00000001.1	49660615	49665639	+	5025	59
GUL01G005024	GWHHCNU00000001.1	49679027	49679629	+	603	33
GUL01G005025	GWHHCNU00000001.1	49680312	49685316	+	5005	87
GUL01G005026	GWHHCNU00000001.1	49687697	49688197	-	501	1164
GUL01G005027	GWHHCNU00000001.1	49692215	49699371	-	7157	1147
GUL01G005028	GWHHCNU00000001.1	49701408	49705161	-	3754	618
GUL01G005029	GWHHCNU00000001.1	49716920	49717168	+	249	0
GUL01G005030	GWHHCNU00000001.1	49717339	49718532	+	1194	13
GUL01G005031	GWHHCNU00000001.1	49720253	49720453	-	201	24
GUL01G005032	GWHHCNU00000001.1	49720558	49721250	-	693	11
GUL01G005033	GWHHCNU00000001.1	49721874	49724137	-	2264	2475
GUL01G005034	GWHHCNU00000001.1	49725296	49725916	-	621	0
GUL01G005035	GWHHCNU00000001.1	49726136	49727405	-	1270	0
GUL01G005036	GWHHCNU00000001.1	49732705	49733496	-	792	196
GUL01G005037	GWHHCNU00000001.1	49741459	49741785	+	327	0
GUL01G005038	GWHHCNU00000001.1	49745142	49749692	+	4551	320
GUL01G005039	GWHHCNU00000001.1	49755302	49760649	+	5348	2012
GUL01G005040	GWHHCNU00000001.1	49765731	49766273	-	543	175
GUL01G005041	GWHHCNU00000001.1	49767105	49768828	+	1724	0
GUL01G005042	GWHHCNU00000001.1	49768871	49769678	+	808	0
GUL01G005043	GWHHCNU00000001.1	49771119	49778509	+	7391	36
GUL01G005044	GWHHCNU00000001.1	49780973	49785888	+	4916	96
GUL01G005045	GWHHCNU00000001.1	49800066	49801902	-	1837	0
GUL01G005046	GWHHCNU00000001.1	49811040	49817080	+	6041	28
GUL01G005047	GWHHCNU00000001.1	49818835	49826359	-	7525	125
GUL01G005048	GWHHCNU00000001.1	49832092	49834440	+	2349	382
GUL01G005049	GWHHCNU00000001.1	49835673	49838156	-	2484	1439
GUL01G005050	GWHHCNU00000001.1	49843590	49845074	+	1485	171
GUL01G005051	GWHHCNU00000001.1	49846303	49848745	+	2443	28443
GUL01G005052	GWHHCNU00000001.1	49853056	49853304	+	249	3991
GUL01G005053	GWHHCNU00000001.1	49855349	49855588	+	240	42301
GUL01G005054	GWHHCNU00000001.1	49856562	49858601	-	2040	225
GUL01G005055	GWHHCNU00000001.1	49862362	49863153	-	792	2653
GUL01G005056	GWHHCNU00000001.1	49863232	49865135	-	1904	276
GUL01G005057	GWHHCNU00000001.1	49867964	49869754	-	1791	14
GUL01G005058	GWHHCNU00000001.1	49872148	49884767	-	12620	4063
GUL01G005059	GWHHCNU00000001.1	49890050	49896010	+	5961	93
GUL01G005060	GWHHCNU00000001.1	49900344	49902290	+	1947	484
GUL01G005061	GWHHCNU00000001.1	49904082	49905830	+	1749	1817
GUL01G005062	GWHHCNU00000001.1	49907370	49914480	-	7111	527
GUL01G005063	GWHHCNU00000001.1	49919272	49921342	+	2071	0
GUL01G005064	GWHHCNU00000001.1	49927118	49929922	+	2805	1786
GUL01G005065	GWHHCNU00000001.1	49930818	49931018	-	201	0
GUL01G005066	GWHHCNU00000001.1	49934371	49935516	-	1146	455
GUL01G005067	GWHHCNU00000001.1	49936992	49937489	+	498	0
GUL01G005068	GWHHCNU00000001.1	49937591	49938671	+	1081	0
GUL01G005069	GWHHCNU00000001.1	49939298	49941710	-	2413	327
GUL01G005070	GWHHCNU00000001.1	49945948	49951903	+	5956	872
GUL01G005071	GWHHCNU00000001.1	49954614	49957873	+	3260	2410
GUL01G005072	GWHHCNU00000001.1	49963707	49964479	+	773	466
GUL01G005073	GWHHCNU00000001.1	49974260	49974799	-	540	25
GUL01G005074	GWHHCNU00000001.1	49979938	49982876	+	2939	1367
GUL01G005075	GWHHCNU00000001.1	49985571	49987314	-	1744	104
GUL01G005076	GWHHCNU00000001.1	49988288	49990427	+	2140	1102
GUL01G005077	GWHHCNU00000001.1	49993106	49996370	-	3265	1026
GUL01G005078	GWHHCNU00000001.1	50004548	50008093	-	3546	0
GUL01G005079	GWHHCNU00000001.1	50015111	50018372	-	3262	2718
GUL01G005080	GWHHCNU00000001.1	50029766	50033306	-	3541	91
GUL01G005081	GWHHCNU00000001.1	50040077	50040754	+	678	1771
GUL01G005082	GWHHCNU00000001.1	50047863	50048771	+	909	811
GUL01G005083	GWHHCNU00000001.1	50050270	50051283	-	1014	3
GUL01G005084	GWHHCNU00000001.1	50052950	50053637	-	688	12214
GUL01G005085	GWHHCNU00000001.1	50056001	50059431	-	3431	2436
GUL01G005086	GWHHCNU00000001.1	50061950	50067614	-	5665	146
GUL01G005087	GWHHCNU00000001.1	50069200	50071938	-	2739	109
GUL01G005088	GWHHCNU00000001.1	50083103	50090721	-	7619	3917
GUL01G005089	GWHHCNU00000001.1	50097159	50101987	+	4829	474
GUL01G005090	GWHHCNU00000001.1	50102531	50103664	-	1134	44
GUL01G005091	GWHHCNU00000001.1	50108612	50111862	-	3251	502
GUL01G005092	GWHHCNU00000001.1	50113787	50114332	+	546	1783
GUL01G005093	GWHHCNU00000001.1	50124879	50126353	-	1475	242
GUL01G005094	GWHHCNU00000001.1	50129005	50129465	+	461	0
GUL01G005095	GWHHCNU00000001.1	50130974	50133291	-	2318	1840
GUL01G005096	GWHHCNU00000001.1	50135498	50136811	-	1314	1723
GUL01G005097	GWHHCNU00000001.1	50138050	50140368	-	2319	28
GUL01G005098	GWHHCNU00000001.1	50141867	50142097	-	231	0
GUL01G005099	GWHHCNU00000001.1	50146953	50147231	-	279	1468
GUL01G005100	GWHHCNU00000001.1	50150462	50150707	-	246	96
GUL01G005101	GWHHCNU00000001.1	50156303	50158477	+	2175	0
GUL01G005102	GWHHCNU00000001.1	50162190	50162993	-	804	1426
GUL01G005103	GWHHCNU00000001.1	50167073	50170954	+	3882	671
GUL01G005104	GWHHCNU00000001.1	50171646	50174492	-	2847	2988
GUL01G005105	GWHHCNU00000001.1	50175788	50180241	-	4454	9516
GUL01G005106	GWHHCNU00000001.1	50184858	50186539	+	1682	0
GUL01G005107	GWHHCNU00000001.1	50194499	50195167	+	669	0
GUL01G005108	GWHHCNU00000001.1	50200328	50203087	-	2760	635
GUL01G005109	GWHHCNU00000001.1	50206066	50212823	+	6758	7191
GUL01G005110	GWHHCNU00000001.1	50219777	50220355	-	579	0
GUL01G005111	GWHHCNU00000001.1	50222354	50223775	+	1422	14
GUL01G005112	GWHHCNU00000001.1	50233800	50234953	-	1154	5307
GUL01G005113	GWHHCNU00000001.1	50236605	50238117	-	1513	44
GUL01G005114	GWHHCNU00000001.1	50238195	50238842	-	648	0
GUL01G005115	GWHHCNU00000001.1	50243693	50244052	+	360	759
GUL01G005116	GWHHCNU00000001.1	50251096	50257243	-	6148	5849
GUL01G005117	GWHHCNU00000001.1	50261736	50263431	-	1696	5383
GUL01G005118	GWHHCNU00000001.1	50271575	50275840	-	4266	188
GUL01G005119	GWHHCNU00000001.1	50280978	50286233	-	5256	291
GUL01G005120	GWHHCNU00000001.1	50288052	50288622	-	571	15
GUL01G005121	GWHHCNU00000001.1	50289109	50291585	-	2477	331
GUL01G005122	GWHHCNU00000001.1	50292565	50295189	+	2625	10
GUL01G005123	GWHHCNU00000001.1	50296975	50302616	-	5642	1043
GUL01G005124	GWHHCNU00000001.1	50305360	50306730	-	1371	2357
GUL01G005125	GWHHCNU00000001.1	50311368	50311703	-	336	0
GUL01G005126	GWHHCNU00000001.1	50317279	50317665	-	387	2631
GUL01G005127	GWHHCNU00000001.1	50320198	50321354	+	1157	57
GUL01G005128	GWHHCNU00000001.1	50322938	50323729	-	792	202
GUL01G005129	GWHHCNU00000001.1	50324087	50327077	+	2991	340
GUL01G005130	GWHHCNU00000001.1	50332230	50334090	+	1861	1403
GUL01G005131	GWHHCNU00000001.1	50339376	50340744	-	1369	0
GUL01G005132	GWHHCNU00000001.1	50345017	50347275	-	2259	700
GUL01G005133	GWHHCNU00000001.1	50353455	50353781	+	327	0
GUL01G005134	GWHHCNU00000001.1	50353822	50354031	-	210	0
GUL01G005135	GWHHCNU00000001.1	50361361	50363317	+	1957	357
GUL01G005136	GWHHCNU00000001.1	50376713	50377054	-	342	466
GUL01G005137	GWHHCNU00000001.1	50384346	50384909	-	564	26
GUL01G005138	GWHHCNU00000001.1	50386489	50387370	-	882	784
GUL01G005139	GWHHCNU00000001.1	50389724	50390035	-	312	0
GUL01G005140	GWHHCNU00000001.1	50395074	50398049	+	2976	590
GUL01G005141	GWHHCNU00000001.1	50401266	50405888	-	4623	430
GUL01G005142	GWHHCNU00000001.1	50413347	50415821	-	2475	612
GUL01G005143	GWHHCNU00000001.1	50418078	50419250	+	1173	9
GUL01G005144	GWHHCNU00000001.1	50421415	50421807	-	393	0
GUL01G005145	GWHHCNU00000001.1	50424610	50425509	+	900	0
GUL01G005146	GWHHCNU00000001.1	50427459	50428689	+	1231	0
GUL01G005147	GWHHCNU00000001.1	50436527	50437407	+	881	0
GUL01G005148	GWHHCNU00000001.1	50446607	50447017	+	411	54
GUL01G005149	GWHHCNU00000001.1	50453875	50455307	+	1433	55
GUL01G005150	GWHHCNU00000001.1	50455355	50455735	+	381	192
GUL01G005151	GWHHCNU00000001.1	50459861	50465950	+	6090	3653
GUL01G005152	GWHHCNU00000001.1	50467422	50469269	+	1848	39
GUL01G005153	GWHHCNU00000001.1	50470089	50470906	-	818	128
GUL01G005154	GWHHCNU00000001.1	50471566	50479149	-	7584	1032
GUL01G005155	GWHHCNU00000001.1	50479465	50481286	+	1822	64
GUL01G005156	GWHHCNU00000001.1	50481350	50488386	+	7037	1573
GUL01G005157	GWHHCNU00000001.1	50489555	50504705	-	15151	1026
GUL01G005158	GWHHCNU00000001.1	50519648	50522915	+	3268	187
GUL01G005159	GWHHCNU00000001.1	50525680	50526816	-	1137	0
GUL01G005160	GWHHCNU00000001.1	50538951	50543904	+	4954	2275
GUL01G005161	GWHHCNU00000001.1	50549355	50549579	-	225	0
GUL01G005162	GWHHCNU00000001.1	50550059	50551804	-	1746	64
GUL01G005163	GWHHCNU00000001.1	50555269	50556356	-	1088	0
GUL01G005164	GWHHCNU00000001.1	50558261	50564050	+	5790	81
GUL01G005165	GWHHCNU00000001.1	50565188	50566652	+	1465	0
GUL01G005166	GWHHCNU00000001.1	50571719	50572027	-	309	1989
GUL01G005167	GWHHCNU00000001.1	50579847	50581547	+	1701	0
GUL01G005168	GWHHCNU00000001.1	50581071	50581571	-	501	0
GUL01G005169	GWHHCNU00000001.1	50590259	50593955	+	3697	1162
GUL01G005170	GWHHCNU00000001.1	50595225	50604141	-	8917	803
GUL01G005171	GWHHCNU00000001.1	50607145	50608326	-	1182	0
GUL01G005172	GWHHCNU00000001.1	50610000	50612673	+	2674	681
GUL01G005173	GWHHCNU00000001.1	50614102	50616781	-	2680	5364
GUL01G005174	GWHHCNU00000001.1	50634618	50634932	+	315	0
GUL01G005175	GWHHCNU00000001.1	50634987	50635271	+	285	0
GUL01G005176	GWHHCNU00000001.1	50635034	50635603	+	570	0
GUL01G005177	GWHHCNU00000001.1	50636708	50640508	+	3801	190
GUL01G005178	GWHHCNU00000001.1	50643079	50643918	-	840	0
GUL01G005179	GWHHCNU00000001.1	50646602	50649036	-	2435	571
GUL01G005180	GWHHCNU00000001.1	50656745	50661031	+	4287	19982
GUL01G005181	GWHHCNU00000001.1	50662126	50664201	-	2076	1735
GUL01G005182	GWHHCNU00000001.1	50668176	50672839	+	4664	130
GUL01G005183	GWHHCNU00000001.1	50676022	50676243	+	222	0
GUL01G005184	GWHHCNU00000001.1	50677520	50681124	+	3605	0
GUL01G005185	GWHHCNU00000001.1	50682027	50685920	-	3894	244
GUL01G005186	GWHHCNU00000001.1	50692404	50694427	+	2024	214
GUL01G005187	GWHHCNU00000001.1	50700277	50719159	+	18883	8065
GUL01G005188	GWHHCNU00000001.1	50721740	50721970	+	231	0
GUL01G005189	GWHHCNU00000001.1	50724284	50726173	+	1890	530
GUL01G005190	GWHHCNU00000001.1	50728365	50731205	+	2841	427
GUL01G005191	GWHHCNU00000001.1	50733524	50733992	+	469	0
GUL01G005192	GWHHCNU00000001.1	50740265	50743740	-	3476	941
GUL01G005193	GWHHCNU00000001.1	50748212	50751744	-	3533	1973
GUL01G005194	GWHHCNU00000001.1	50758003	50761302	+	3300	43
GUL01G005195	GWHHCNU00000001.1	50762516	50762903	+	388	107
GUL01G005196	GWHHCNU00000001.1	50767085	50773334	+	6250	244
GUL01G005197	GWHHCNU00000001.1	50774640	50776982	+	2343	243
GUL01G005198	GWHHCNU00000001.1	50774733	50774972	-	240	0
GUL01G005199	GWHHCNU00000001.1	50779014	50781525	-	2512	788
GUL01G005200	GWHHCNU00000001.1	50783262	50786960	-	3699	2765
GUL01G005201	GWHHCNU00000001.1	50791402	50795166	+	3765	29
GUL01G005202	GWHHCNU00000001.1	50802845	50803288	+	444	2664
GUL01G005203	GWHHCNU00000001.1	50815771	50816421	+	651	0
GUL01G005204	GWHHCNU00000001.1	50818556	50820211	-	1656	0
GUL01G005205	GWHHCNU00000001.1	50821362	50823120	-	1759	53
GUL01G005206	GWHHCNU00000001.1	50824751	50832207	-	7457	38
GUL01G005207	GWHHCNU00000001.1	50836311	50839390	-	3080	641
GUL01G005208	GWHHCNU00000001.1	50842590	50844951	-	2362	410
GUL01G005209	GWHHCNU00000001.1	50846443	50846853	+	411	0
GUL01G005210	GWHHCNU00000001.1	50852416	50853465	-	1050	40
GUL01G005211	GWHHCNU00000001.1	50862253	50863290	+	1038	92
GUL01G005212	GWHHCNU00000001.1	50869875	50873997	-	4123	695
GUL01G005213	GWHHCNU00000001.1	50876409	50877842	+	1434	0
GUL01G005214	GWHHCNU00000001.1	50881426	50882412	-	987	2866
GUL01G005215	GWHHCNU00000001.1	50884602	50886014	+	1413	213
GUL01G005216	GWHHCNU00000001.1	50886694	50888420	-	1727	52
GUL01G005217	GWHHCNU00000001.1	50889061	50890482	+	1422	471
GUL01G005218	GWHHCNU00000001.1	50897339	50898787	+	1449	624
GUL01G005219	GWHHCNU00000001.1	50901000	50902141	-	1142	89
GUL01G005220	GWHHCNU00000001.1	50908819	50909681	-	863	141
GUL01G005221	GWHHCNU00000001.1	50911413	50918352	+	6940	1968
GUL01G005222	GWHHCNU00000001.1	50919754	50923187	-	3434	73
GUL01G005223	GWHHCNU00000001.1	50944158	50954320	+	10163	0
GUL01G005224	GWHHCNU00000001.1	50959360	50960312	-	953	0
GUL01G005225	GWHHCNU00000001.1	50993838	50997863	+	4026	0
GUL01G005226	GWHHCNU00000001.1	51002946	51003896	-	951	0
GUL01G005227	GWHHCNU00000001.1	51023090	51031534	+	8445	4159
GUL01G005228	GWHHCNU00000001.1	51032247	51034871	-	2625	0
GUL01G005229	GWHHCNU00000001.1	51038164	51041860	-	3697	984
GUL01G005230	GWHHCNU00000001.1	51045268	51046110	-	843	2241
GUL01G005231	GWHHCNU00000001.1	51048416	51051484	-	3069	10
GUL01G005232	GWHHCNU00000001.1	51059817	51061642	-	1826	0
GUL01G005233	GWHHCNU00000001.1	51068120	51068431	-	312	0
GUL01G005234	GWHHCNU00000001.1	51074091	51077571	-	3481	399
GUL01G005235	GWHHCNU00000001.1	51083715	51087588	+	3874	150
GUL01G005236	GWHHCNU00000001.1	51095354	51095904	+	551	47
GUL01G005237	GWHHCNU00000001.1	51097926	51099443	+	1518	84
GUL01G005238	GWHHCNU00000001.1	51110262	51114553	-	4292	1179
GUL01G005239	GWHHCNU00000001.1	51129093	51130106	-	1014	0
GUL01G005240	GWHHCNU00000001.1	51144657	51150475	+	5819	234
GUL01G005241	GWHHCNU00000001.1	51154157	51155968	+	1812	54
GUL01G005242	GWHHCNU00000001.1	51158244	51162025	+	3782	48
GUL01G005243	GWHHCNU00000001.1	51163423	51163920	+	498	0
GUL01G005244	GWHHCNU00000001.1	51165855	51168194	+	2340	1192
GUL01G005245	GWHHCNU00000001.1	51172868	51173647	+	780	56
GUL01G005246	GWHHCNU00000001.1	51184307	51186213	+	1907	4
GUL01G005247	GWHHCNU00000001.1	51209828	51213648	-	3821	216
GUL01G005248	GWHHCNU00000001.1	51218038	51219345	+	1308	28
GUL01G005249	GWHHCNU00000001.1	51231456	51235229	+	3774	10938
GUL01G005250	GWHHCNU00000001.1	51240129	51242984	+	2856	176
GUL01G005251	GWHHCNU00000001.1	51244567	51246975	+	2409	4426
GUL01G005252	GWHHCNU00000001.1	51253894	51254967	+	1074	0
GUL01G005253	GWHHCNU00000001.1	51256583	51257146	-	564	0
GUL01G005254	GWHHCNU00000001.1	51259827	51260385	+	559	0
GUL01G005255	GWHHCNU00000001.1	51263104	51267744	+	4641	896
GUL01G005256	GWHHCNU00000001.1	51270120	51270607	+	488	330
GUL01G005257	GWHHCNU00000001.1	51273077	51274602	+	1526	0
GUL01G005258	GWHHCNU00000001.1	51275179	51278478	-	3300	2
GUL01G005259	GWHHCNU00000001.1	51282094	51286514	+	4421	105
GUL01G005260	GWHHCNU00000001.1	51288103	51292269	-	4167	66
GUL01G005261	GWHHCNU00000001.1	51296517	51299862	+	3346	71
GUL01G005262	GWHHCNU00000001.1	51301120	51305251	+	4132	1105
GUL01G005263	GWHHCNU00000001.1	51306302	51319204	+	12903	39
GUL01G005264	GWHHCNU00000001.1	51319945	51320322	-	378	0
GUL01G005265	GWHHCNU00000001.1	51323507	51325036	+	1530	392
GUL01G005266	GWHHCNU00000001.1	51343108	51345931	+	2824	0
GUL01G005267	GWHHCNU00000001.1	51348325	51356106	+	7782	1172
GUL01G005268	GWHHCNU00000001.1	51357990	51358334	+	345	12
GUL01G005269	GWHHCNU00000001.1	51361279	51364623	+	3345	40
GUL01G005270	GWHHCNU00000001.1	51388691	51400189	+	11499	690
GUL01G005271	GWHHCNU00000001.1	51401191	51401585	+	395	0
GUL01G005272	GWHHCNU00000001.1	51402841	51406359	+	3519	3704
GUL01G005273	GWHHCNU00000001.1	51409281	51411512	+	2232	0
GUL01G005274	GWHHCNU00000001.1	51412319	51412819	+	501	0
GUL01G005275	GWHHCNU00000001.1	51417013	51417495	-	483	32
GUL01G005276	GWHHCNU00000001.1	51430996	51431586	+	591	1087
GUL01G005277	GWHHCNU00000001.1	51438584	51443433	+	4850	28
GUL01G005278	GWHHCNU00000001.1	51446398	51449787	+	3390	0
GUL01G005279	GWHHCNU00000001.1	51453565	51455250	-	1686	866
GUL01G005280	GWHHCNU00000001.1	51461346	51468030	-	6685	443
GUL01G005281	GWHHCNU00000001.1	51469737	51483103	+	13367	180
GUL01G005282	GWHHCNU00000001.1	51486115	51489176	+	3062	52
GUL01G005283	GWHHCNU00000001.1	51497214	51497726	+	513	0
GUL01G005284	GWHHCNU00000001.1	51503183	51507016	+	3834	3
GUL01G005285	GWHHCNU00000001.1	51513440	51513852	-	413	0
GUL01G005286	GWHHCNU00000001.1	51513982	51517238	+	3257	50
GUL01G005287	GWHHCNU00000001.1	51517944	51518934	-	991	125
GUL01G005288	GWHHCNU00000001.1	51521893	51524130	-	2238	317
GUL01G005289	GWHHCNU00000001.1	51529834	51536542	+	6709	0
GUL01G005290	GWHHCNU00000001.1	51538250	51541430	-	3181	1701
GUL01G005291	GWHHCNU00000001.1	51546992	51548074	-	1083	0
GUL01G005292	GWHHCNU00000001.1	51548190	51550292	+	2103	1292
GUL01G005293	GWHHCNU00000001.1	51554707	51557716	+	3010	0
GUL01G005294	GWHHCNU00000001.1	51560311	51562141	+	1831	282
GUL01G005295	GWHHCNU00000001.1	51566467	51570643	+	4177	0
GUL01G005296	GWHHCNU00000001.1	51575661	51579626	+	3966	842
GUL01G005297	GWHHCNU00000001.1	51585641	51587861	+	2221	1117
GUL01G005298	GWHHCNU00000001.1	51592903	51594770	+	1868	0
GUL01G005299	GWHHCNU00000001.1	51594892	51595483	+	592	0
GUL01G005300	GWHHCNU00000001.1	51596118	51597465	-	1348	347
GUL01G005301	GWHHCNU00000001.1	51601108	51603465	+	2358	133
GUL01G005302	GWHHCNU00000001.1	51606615	51607886	-	1272	397
GUL01G005303	GWHHCNU00000001.1	51609882	51611152	-	1271	87
GUL01G005304	GWHHCNU00000001.1	51615118	51619783	-	4666	230
GUL01G005305	GWHHCNU00000001.1	51626455	51629279	-	2825	1420
GUL01G005306	GWHHCNU00000001.1	51638514	51640045	+	1532	0
GUL01G005307	GWHHCNU00000001.1	51640190	51640477	+	288	0
GUL01G005308	GWHHCNU00000001.1	51642541	51643098	-	558	0
GUL01G005309	GWHHCNU00000001.1	51643722	51645143	+	1422	0
GUL01G005310	GWHHCNU00000001.1	51645627	51647348	-	1722	0
GUL01G005311	GWHHCNU00000001.1	51648789	51649184	-	396	0
GUL01G005312	GWHHCNU00000001.1	51651961	51653017	+	1057	0
GUL01G005313	GWHHCNU00000001.1	51655325	51656491	+	1167	0
GUL01G005314	GWHHCNU00000001.1	51657265	51666262	-	8998	541
GUL01G005315	GWHHCNU00000001.1	51670387	51684145	-	13759	16948
GUL01G005316	GWHHCNU00000001.1	51693502	51697156	+	3655	654
GUL01G005317	GWHHCNU00000001.1	51697219	51703617	-	6399	4
GUL01G005318	GWHHCNU00000001.1	51707015	51710949	-	3935	0
GUL01G005319	GWHHCNU00000001.1	51715828	51716115	+	288	2
GUL01G005320	GWHHCNU00000001.1	51721568	51722594	+	1027	32
GUL01G005321	GWHHCNU00000001.1	51726256	51726567	+	312	0
GUL01G005322	GWHHCNU00000001.1	51727483	51730715	-	3233	649
GUL01G005323	GWHHCNU00000001.1	51734700	51735659	-	960	0
GUL01G005324	GWHHCNU00000001.1	51737693	51738193	+	501	45
GUL01G005325	GWHHCNU00000001.1	51742804	51748280	-	5477	3764
GUL01G005326	GWHHCNU00000001.1	51751644	51752168	+	525	0
GUL01G005327	GWHHCNU00000001.1	51759754	51760386	+	633	295
GUL01G005328	GWHHCNU00000001.1	51770492	51771989	+	1498	77
GUL01G005329	GWHHCNU00000001.1	51775315	51776948	-	1634	774
GUL01G005330	GWHHCNU00000001.1	51780195	51783312	-	3118	831
GUL01G005331	GWHHCNU00000001.1	51789824	51794232	+	4409	331
GUL01G005332	GWHHCNU00000001.1	51799087	51800920	+	1834	797
GUL01G005333	GWHHCNU00000001.1	51802900	51806486	+	3587	51
GUL01G005334	GWHHCNU00000001.1	51814677	51815282	-	606	501
GUL01G005335	GWHHCNU00000001.1	51819325	51822804	-	3480	699
GUL01G005336	GWHHCNU00000001.1	51823690	51824833	-	1144	1127
GUL01G005337	GWHHCNU00000001.1	51826285	51827706	+	1422	872
GUL01G005338	GWHHCNU00000001.1	51828839	51830594	-	1756	24
GUL01G005339	GWHHCNU00000001.1	51833421	51833933	+	513	56
GUL01G005340	GWHHCNU00000001.1	51835207	51836562	-	1356	276
GUL01G005341	GWHHCNU00000001.1	51839905	51841845	-	1941	117
GUL01G005342	GWHHCNU00000001.1	51845911	51847898	-	1988	168
GUL01G005343	GWHHCNU00000001.1	51850965	51852551	+	1587	0
